variable_1,variable_1_label,variable_2,variable_2_label,n,pearson_r,p_value
mean_height_log,Mean Height,diffuse_height_prop,D-porous abund. (% height),41,-0.066581,0.679166
street_tree_percent,Street trees (% of trees),quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,-0.065968,0.681963
percent_angio_cubed,Angio. abund. (% of trees),quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,-0.065015,0.686323
tax_richness_per_hectare,Tax. richness,arbuscular_prop,AMF abund. (% of trees),41,-0.064819,0.687219
soil_access_per_tree_count_sqrt,Soil restrictions,arbuscular_prop,AMF abund. (% of trees),41,-0.064146,0.690301
mean_height_log,Mean Height,diffuse_prop,D-porous abund. (% trees),41,0.062974,0.695686
genera_true_evenness,Genus evenness,percent_angio_cubed,Angio. abund. (% of trees),41,-0.058925,0.714399
genera_richness_per_hectare,Genus richness,species_true_evenness,Tax. evenness,41,-0.057507,0.720995
mean_height_log,Mean Height,quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.055636,0.729722
genera_richness_per_hectare,Genus richness,soil_access_per_tree_count_sqrt,Soil restrictions,41,0.053850,0.738085
species_true_evenness,Tax. evenness,tree_health_mean,Intactness (% canopy),41,-0.052214,0.745773
species_true_evenness,Tax. evenness,arbuscular_height_prop_squared,AMF abund. (% height),41,0.052063,0.746487
species_true_evenness,Tax. evenness,mean_height_log,Mean Height,41,0.050912,0.751911
arbuscular_height_prop_squared,AMF abund. (% height),diffuse_prop,D-porous abund. (% trees),41,-0.049033,0.760793
genera_richness_per_hectare,Genus richness,arbuscular_height_prop_squared,AMF abund. (% height),41,-0.048563,0.763018
tree_health_mean,Intactness (% canopy),quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.048197,0.764755
percent_angio_cubed,Angio. abund. (% of trees),diffuse_prop,D-porous abund. (% trees),41,-0.044629,0.781731
street_tree_percent,Street trees (% of trees),quercus_height_sum_prop_sqrt,Oak abund. (% height),41,-0.041660,0.795931
genera_true_evenness,Genus evenness,arbuscular_height_prop_squared,AMF abund. (% height),41,-0.036954,0.818572
species_true_evenness,Tax. evenness,soil_access_per_tree_count_sqrt,Soil restrictions,41,-0.036689,0.819854
genera_true_evenness,Genus evenness,mean_height_log,Mean Height,41,-0.036674,0.819922
mean_height_log,Mean Height,acer_height_sum_prop,Maple abund. (% height),41,-0.036062,0.822880
genera_richness_per_hectare,Genus richness,quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,-0.030676,0.849001
stressors_sum_per_tree_count,Damage score,diffuse_height_prop,D-porous abund. (% height),41,-0.028882,0.857738
genera_richness_per_hectare,Genus richness,quercus_height_sum_prop_sqrt,Oak abund. (% height),41,0.026521,0.869265
street_tree_percent,Street trees (% of trees),arbuscular_height_prop_squared,AMF abund. (% height),41,-0.023615,0.883486
genera_true_evenness,Genus evenness,street_tree_percent,Street trees (% of trees),41,-0.015382,0.923958
tree_health_mean,Intactness (% canopy),street_tree_percent,Street trees (% of trees),41,0.014711,0.927265
soil_access_per_tree_count_sqrt,Soil restrictions,quercus_count_per_tree_sqrt,Oak abund. (% of trees),41,0.011410,0.943557
health_color_height_prop_cubed,Canopy Health Index(height-wieghted),arbuscular_prop,AMF abund. (% of trees),41,0.011172,0.944729
tax_richness_per_hectare,Tax. richness,soil_access_per_tree_count_sqrt,Soil restrictions,41,0.007904,0.960882
soil_access_per_tree_count_sqrt,Soil restrictions,quercus_height_sum_prop_sqrt,Oak abund. (% height),41,-0.006969,0.965509
arbuscular_prop,AMF abund. (% of trees),diffuse_height_prop,D-porous abund. (% height),41,0.006062,0.969994
soil_access_per_tree_count_sqrt,Soil restrictions,arbuscular_height_prop_squared,AMF abund. (% height),41,-0.005284,0.973844
health_color_squared,Color. & Intact. (% canopy),street_tree_percent,Street trees (% of trees),41,0.000028,0.999861
